time_range,group_gain,stu_id
00.00-01.00,พักผ่อน,10
00.00-01.00,ฟิน,10
00.00-01.00,สดชื่น,2
00.00-01.00,เรียนรู้สิ่งใหม่,1
01.00-02.00,พักผ่อน,2
01.00-02.00,ฟิน,2
01.00-02.00,สดชื่น,1
02.00-03.00,พักผ่อน,3
03.00-04.00,ฟิน,1
05.00-06.00,ทำการบ้าน,1
05.00-06.00,พักผ่อน,1
05.00-06.00,ฟิน,5
05.00-06.00,สดชื่น,2
06.00-07.00,ทำการบ้าน,3
06.00-07.00,พักผ่อน,5
06.00-07.00,ฟิน,13
06.00-07.00,สดชื่น,11
06.00-07.00,ออกกำลังกาย,2
06.00-07.00,อิ่ม,1
06.00-07.00,เรียนรู้สิ่งใหม่,1
06.00-07.00,ได้เงิน,1
07.00-08.00,พักผ่อน,7
07.00-08.00,ฟิน,38
07.00-08.00,สดชื่น,17
07.00-08.00,ออกกำลังกาย,3
07.00-08.00,อิ่ม,1
07.00-08.00,เรียนรู้สิ่งใหม่,1
08.00-09.00,พักผ่อน,4
08.00-09.00,ฟิน,49
08.00-09.00,สดชื่น,19
08.00-09.00,ออกกำลังกาย,4
08.00-09.00,อิ่ม,2
08.00-09.00,เรียนรู้สิ่งใหม่,5
09.00-10.00,พักผ่อน,1
09.00-10.00,ฟิน,37
09.00-10.00,สดชื่น,6
09.00-10.00,อิ่ม,3
09.00-10.00,เรียนรู้สิ่งใหม่,5
09.00-10.00,ได้เงิน,3
10.00-11.00,ทำการบ้าน,1
10.00-11.00,พักผ่อน,1
10.00-11.00,ฟิน,20
10.00-11.00,สดชื่น,2
10.00-11.00,ออกกำลังกาย,2
10.00-11.00,เรียนรู้สิ่งใหม่,4
10.00-11.00,ได้เงิน,2
11.00-12.00,พักผ่อน,2
11.00-12.00,ฟิน,11
11.00-12.00,สดชื่น,2
11.00-12.00,อิ่ม,1
11.00-12.00,เรียนรู้สิ่งใหม่,1
12.00-13.00,พักผ่อน,11
12.00-13.00,ฟิน,28
12.00-13.00,สดชื่น,3
12.00-13.00,ออกกำลังกาย,1
12.00-13.00,อิ่ม,6
12.00-13.00,เรียนรู้สิ่งใหม่,1
13.00-14.00,ทำการบ้าน,1
13.00-14.00,พักผ่อน,2
13.00-14.00,ฟิน,29
13.00-14.00,สดชื่น,3
13.00-14.00,ออกกำลังกาย,1
13.00-14.00,อิ่ม,2
13.00-14.00,เรียนรู้สิ่งใหม่,3
14.00-15.00,ทำการบ้าน,2
14.00-15.00,พักผ่อน,1
14.00-15.00,ฟิน,20
14.00-15.00,สดชื่น,2
14.00-15.00,อิ่ม,2
14.00-15.00,เรียนรู้สิ่งใหม่,2
14.00-15.00,ได้เงิน,1
15.00-16.00,พักผ่อน,1
15.00-16.00,ฟิน,15
15.00-16.00,ออกกำลังกาย,1
15.00-16.00,เรียนรู้สิ่งใหม่,3
16.00-17.00,ทำการบ้าน,2
16.00-17.00,พักผ่อน,9
16.00-17.00,ฟิน,9
16.00-17.00,สดชื่น,1
16.00-17.00,ออกกำลังกาย,1
17.00-18.00,พักผ่อน,8
17.00-18.00,ฟิน,18
17.00-18.00,ออกกำลังกาย,4
17.00-18.00,อิ่ม,1
17.00-18.00,เรียนรู้สิ่งใหม่,1
18.00-19.00,พักผ่อน,6
18.00-19.00,ฟิน,27
18.00-19.00,สดชื่น,1
18.00-19.00,ออกกำลังกาย,2
18.00-19.00,อิ่ม,1
18.00-19.00,เรียนรู้สิ่งใหม่,2
19.00-20.00,พักผ่อน,11
19.00-20.00,ฟิน,20
19.00-20.00,สดชื่น,2
19.00-20.00,ออกกำลังกาย,6
19.00-20.00,อิ่ม,2
19.00-20.00,เรียนรู้สิ่งใหม่,1
20.00-21.00,ทำการบ้าน,3
20.00-21.00,พักผ่อน,11
20.00-21.00,ฟิน,20
20.00-21.00,สดชื่น,5
20.00-21.00,ออกกำลังกาย,2
20.00-21.00,อิ่ม,5
20.00-21.00,เรียนรู้สิ่งใหม่,3
21.00-22.00,ทำการบ้าน,3
21.00-22.00,พักผ่อน,8
21.00-22.00,ฟิน,15
21.00-22.00,สดชื่น,13
21.00-22.00,ออกกำลังกาย,1
21.00-22.00,อิ่ม,1
21.00-22.00,เรียนรู้สิ่งใหม่,2
22.00-23.00,ทำการบ้าน,1
22.00-23.00,พักผ่อน,10
22.00-23.00,ฟิน,16
22.00-23.00,สดชื่น,5
22.00-23.00,ออกกำลังกาย,1
22.00-23.00,เรียนรู้สิ่งใหม่,3
23.00-24.00,ทำการบ้าน,2
23.00-24.00,พักผ่อน,11
23.00-24.00,ฟิน,9
23.00-24.00,สดชื่น,2
23.00-24.00,ออกกำลังกาย,2
23.00-24.00,เรียนรู้สิ่งใหม่,3
