time_range,group_pain,stu_id
00.00-01.00,ความลำคาญ,12
00.00-01.00,ง่วง,6
01.00-02.00,ความลำคาญ,2
01.00-02.00,ง่วง,2
03.00-04.00,ความลำคาญ,1
05.00-06.00,ความลำคาญ,6
05.00-06.00,ง่วง,1
05.00-06.00,หนาว,2
05.00-06.00,หิว-กลัวอ้วน,1
06.00-07.00,ความลำคาญ,14
06.00-07.00,ง่วง,7
06.00-07.00,หนาว,8
06.00-07.00,เหนื่อย,4
06.00-07.00,แพง,1
07.00-08.00,ความลำคาญ,43
07.00-08.00,ง่วง,8
07.00-08.00,รถติด-ต้องขับรถ,3
07.00-08.00,หนาว,12
07.00-08.00,หิว-กลัวอ้วน,1
07.00-08.00,เหนื่อย,2
07.00-08.00,แพง,1
08.00-09.00,ความลำคาญ,67
08.00-09.00,ง่วง,5
08.00-09.00,รถติด-ต้องขับรถ,3
08.00-09.00,หนาว,7
08.00-09.00,หิว-กลัวอ้วน,4
09.00-10.00,ความลำคาญ,40
09.00-10.00,งานเพิ่ม-ไม่เสร็จ,2
09.00-10.00,ง่วง,5
09.00-10.00,รถติด-ต้องขับรถ,2
09.00-10.00,หนาว,3
09.00-10.00,หิว-กลัวอ้วน,1
09.00-10.00,เหนื่อย,3
10.00-11.00,ความลำคาญ,19
10.00-11.00,งานเพิ่ม-ไม่เสร็จ,4
10.00-11.00,ง่วง,1
10.00-11.00,รถติด-ต้องขับรถ,1
10.00-11.00,เหนื่อย,1
10.00-11.00,แพง,3
11.00-12.00,ความลำคาญ,10
11.00-12.00,งานเพิ่ม-ไม่เสร็จ,3
11.00-12.00,หิว-กลัวอ้วน,2
11.00-12.00,เหนื่อย,2
11.00-12.00,แพง,1
12.00-13.00,ความลำคาญ,43
12.00-13.00,ง่วง,4
12.00-13.00,หิว-กลัวอ้วน,3
12.00-13.00,เหนื่อย,1
13.00-14.00,ความลำคาญ,30
13.00-14.00,งานเพิ่ม-ไม่เสร็จ,3
13.00-14.00,ง่วง,4
13.00-14.00,รถติด-ต้องขับรถ,1
13.00-14.00,เหนื่อย,2
13.00-14.00,แพง,2
14.00-15.00,ความลำคาญ,17
14.00-15.00,งานเพิ่ม-ไม่เสร็จ,4
14.00-15.00,ง่วง,2
14.00-15.00,รถติด-ต้องขับรถ,1
14.00-15.00,หิว-กลัวอ้วน,1
15.00-16.00,ความลำคาญ,11
15.00-16.00,งานเพิ่ม-ไม่เสร็จ,1
15.00-16.00,ง่วง,1
15.00-16.00,เหนื่อย,2
15.00-16.00,แพง,1
16.00-17.00,ความลำคาญ,15
16.00-17.00,งานเพิ่ม-ไม่เสร็จ,2
16.00-17.00,หนาว,1
16.00-17.00,เหนื่อย,3
16.00-17.00,แพง,2
17.00-18.00,ความลำคาญ,19
17.00-18.00,งานเพิ่ม-ไม่เสร็จ,2
17.00-18.00,ง่วง,1
17.00-18.00,รถติด-ต้องขับรถ,3
18.00-19.00,ความลำคาญ,29
18.00-19.00,งานเพิ่ม-ไม่เสร็จ,1
18.00-19.00,ง่วง,2
18.00-19.00,รถติด-ต้องขับรถ,2
18.00-19.00,หิว-กลัวอ้วน,1
18.00-19.00,เหนื่อย,2
18.00-19.00,แพง,1
19.00-20.00,ความลำคาญ,28
19.00-20.00,งานเพิ่ม-ไม่เสร็จ,2
19.00-20.00,หิว-กลัวอ้วน,4
19.00-20.00,เหนื่อย,3
19.00-20.00,แพง,2
20.00-21.00,ความลำคาญ,28
20.00-21.00,ง่วง,5
20.00-21.00,รถติด-ต้องขับรถ,1
20.00-21.00,หนาว,5
20.00-21.00,หิว-กลัวอ้วน,1
20.00-21.00,เหนื่อย,1
20.00-21.00,แพง,2
21.00-22.00,ความลำคาญ,22
21.00-22.00,ง่วง,5
21.00-22.00,หนาว,12
21.00-22.00,หิว-กลัวอ้วน,2
21.00-22.00,เหนื่อย,1
22.00-23.00,ความลำคาญ,24
22.00-23.00,ง่วง,4
22.00-23.00,หนาว,3
22.00-23.00,เหนื่อย,1
23.00-24.00,ความลำคาญ,17
23.00-24.00,ง่วง,2
23.00-24.00,หนาว,1
23.00-24.00,เหนื่อย,3
