stu_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6210422010,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,,ฟิน,,ฟิน,ฟิน,ฟิน,ทำการบ้าน,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,,,,,,,,,,,,,,,,,
6210422031,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,ฟิน,ฟิน,พักผ่อน,ฟิน,สดชื่น,ฟิน,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,
6210422032,พักผ่อน,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,ฟิน,ออกกำลังกาย,ได้เงิน,ได้เงิน,ฟิน,ได้เงิน,ฟิน,ฟิน,อิ่ม,ฟิน,ฟิน,ออกกำลังกาย,สดชื่น,ฟิน,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,
6210422033,สดชื่น,สดชื่น,อิ่ม,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,อิ่ม,สดชื่น,เรียนรู้สิ่งใหม่,พักผ่อน,,,,,,,,,,,,,,,,,,,,,
6210422034,สดชื่น,พักผ่อน,สดชื่น,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,,,
6210422035,ฟิน,สดชื่น,ฟิน,ฟิน,ฟิน,อิ่ม,ฟิน,ได้เงิน,อิ่ม,ฟิน,ฟิน,พักผ่อน,อิ่ม,พักผ่อน,พักผ่อน,สดชื่น,ฟิน,ฟิน,,,,,,,,,,,,,,,,,,,,
6210422036,ฟิน,,,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,พักผ่อน,ฟิน,,,,,,,,,,,,,,,,,,,,,,,,,
6210422037,เรียนรู้สิ่งใหม่,สดชื่น,พักผ่อน,สดชื่น,ฟิน,สดชื่น,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,อิ่ม,ฟิน,,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,,,,,,,,,,,,,,,,,,,,
6210422038,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,ฟิน,ทำการบ้าน,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,สดชื่น,ทำการบ้าน,ฟิน,,,,,,,,,,,,,,,,,,,,
6210422040,,ฟิน,ฟิน,สดชื่น,ออกกำลังกาย,สดชื่น,ฟิน,ฟิน,ออกกำลังกาย,,สดชื่น,,พักผ่อน,ออกกำลังกาย,ฟิน,สดชื่น,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6210422043,ฟิน,สดชื่น,ฟิน,ฟิน,,ฟิน,ฟิน,ฟิน,,ฟิน,,,,พักผ่อน,ฟิน,ฟิน,สดชื่น,ทำการบ้าน,พักผ่อน,,,,,,,,,,,,,,,,,,,
6210422044,สดชื่น,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,เรียนรู้สิ่งใหม่,เรียนรู้สิ่งใหม่,ฟิน,ฟิน,ฟิน,ออกกำลังกาย,ออกกำลังกาย,ฟิน,ทำการบ้าน,สดชื่น,สดชื่น,ฟิน,พักผ่อน,ฟิน,,,,,,,,,,,,,
6210422047,ฟิน,ฟิน,ฟิน,สดชื่น,สดชื่น,ฟิน,ฟิน,พักผ่อน,อิ่ม,พักผ่อน,ทำการบ้าน,ทำการบ้าน,ฟิน,ฟิน,พักผ่อน,ฟิน,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6210422048,,ฟิน,สดชื่น,เรียนรู้สิ่งใหม่,พักผ่อน,สดชื่น,สดชื่น,อิ่ม,เรียนรู้สิ่งใหม่,พักผ่อน,,ทำการบ้าน,อิ่ม,ฟิน,ทำการบ้าน,สดชื่น,ฟิน,ฟิน,,,,,,,,,,,,,,,,,,,,
6210422049,,ฟิน,,ฟิน,,ฟิน,ฟิน,ฟิน,ฟิน,พักผ่อน,พักผ่อน,,ฟิน,,,,,,,,,,,,,,,,,,,,,,,,,
