var1,var2,pearson_corr
สนใจ_อาหารญี่ปุ่น,สนใจ_อาหารญี่ปุ่น,1.0
สนใจ_อาหารจึน,สนใจ_อาหารญี่ปุ่น,0.1832959179240374
สนใจ_อาหารไทย,สนใจ_อาหารญี่ปุ่น,0.14560207193531538
สนใจ_อาหารอีสาน,สนใจ_อาหารญี่ปุ่น,0.14766118067099512
สนใจ_อาหารสุขภาพ,สนใจ_อาหารญี่ปุ่น,-0.06507640385147417
สนใจ_บุฟเฟต์,สนใจ_อาหารญี่ปุ่น,0.4198977901591939
สนใจ_ชาบูชาบู,สนใจ_อาหารญี่ปุ่น,0.5657482217340386
สนใจ_ปิ้งย่าง,สนใจ_อาหารญี่ปุ่น,0.29151430763882613
สนใจ_เหล้าเบียร์,สนใจ_อาหารญี่ปุ่น,-0.12294810787875812
สนใจ_เสื้อผ้าแฟชั่น,สนใจ_อาหารญี่ปุ่น,0.13200498400782062
สนใจ_แต่งหน้า,สนใจ_อาหารญี่ปุ่น,0.0013033065822459027
สนใจ_skincare_บำรุงผิว,สนใจ_อาหารญี่ปุ่น,0.0055209234415984285
สนใจ_การออกกำลังกาย,สนใจ_อาหารญี่ปุ่น,-0.1431728680309882
สนใจ_การเล่นเกมส์,สนใจ_อาหารญี่ปุ่น,0.069918785039289
สนใจ_การท่องเที่ยว,สนใจ_อาหารญี่ปุ่น,0.07914818147724517
สนใจ_การอ่านหนังสือ,สนใจ_อาหารญี่ปุ่น,0.016923486610170874
สนใจ_การอ่านบทความ_Online,สนใจ_อาหารญี่ปุ่น,0.0938473923692606
สนใจ_การเรียน_e-learning,สนใจ_อาหารญี่ปุ่น,0.16046173268140757
สนใจ_ดู_Series,สนใจ_อาหารญี่ปุ่น,0.1816940567431699
สนใจ_ดูหนัง,สนใจ_อาหารญี่ปุ่น,0.13881264257259873
สนใจ_ดู_Youtube,สนใจ_อาหารญี่ปุ่น,0.2593222277488197
สนใจ_ดู_Netflix,สนใจ_อาหารญี่ปุ่น,0.1629623166248414
สนใจ_Content_ด้านบันเทิง,สนใจ_อาหารญี่ปุ่น,0.18961016858870086
สนใจ_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารญี่ปุ่น,0.211447072854437
สนใจ_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารญี่ปุ่น,0.49247152996852983
สนใจ_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารญี่ปุ่น,0.32625886230979384
สนใจ_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารญี่ปุ่น,0.047508923838905474
สนใจ_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารญี่ปุ่น,-0.020065420544986178
สนใจ_Content_เกี่ยวกับละคร,สนใจ_อาหารญี่ปุ่น,0.11375166554204062
สนใจ_Content_เกี่ยวกับการเมือง,สนใจ_อาหารญี่ปุ่น,-0.0028927820012608334
บริโภค_อาหารญี่ปุ่น,สนใจ_อาหารญี่ปุ่น,0.39410210235729703
บริโภค_อาหารจึน,สนใจ_อาหารญี่ปุ่น,0.18699348825560516
บริโภค_อาหารไทย,สนใจ_อาหารญี่ปุ่น,-0.09611777838656899
บริโภค_อาหารอีสาน,สนใจ_อาหารญี่ปุ่น,0.16328382876721323
บริโภค_อาหารสุขภาพ,สนใจ_อาหารญี่ปุ่น,-0.17813445215355672
บริโภค_บุฟเฟต์,สนใจ_อาหารญี่ปุ่น,0.25693867901586986
บริโภค_ชาบูชาบู,สนใจ_อาหารญี่ปุ่น,0.24167233409742758
บริโภค_ปิ้งย่าง,สนใจ_อาหารญี่ปุ่น,-0.11867554495741686
บริโภค_เหล้าเบียร์,สนใจ_อาหารญี่ปุ่น,-0.32591069732233674
บริโภค_เสื้อผ้าแฟชั่น,สนใจ_อาหารญี่ปุ่น,0.014627449242310487
บริโภค_แต่งหน้า,สนใจ_อาหารญี่ปุ่น,-0.08461345872212368
บริโภค_skincare_บำรุงผิว,สนใจ_อาหารญี่ปุ่น,0.03741310831733461
บริโภค_การออกกำลังกาย,สนใจ_อาหารญี่ปุ่น,-0.2586788163370501
บริโภค_การเล่นเกมส์,สนใจ_อาหารญี่ปุ่น,0.09819241989856078
บริโภค_การท่องเที่ยว,สนใจ_อาหารญี่ปุ่น,0.04443136468074987
บริโภค_การอ่านหนังสือ,สนใจ_อาหารญี่ปุ่น,-0.17283798775384454
บริโภค_การอ่านบทความ_Online,สนใจ_อาหารญี่ปุ่น,-0.09840850937000913
บริโภค_การเรียน_e-learning,สนใจ_อาหารญี่ปุ่น,-0.058840746587951354
บริโภค_ดู_Series,สนใจ_อาหารญี่ปุ่น,0.09503240325208771
บริโภค_ดูหนัง,สนใจ_อาหารญี่ปุ่น,0.07566851364752146
บริโภค_ดู_Youtube,สนใจ_อาหารญี่ปุ่น,-0.0910864302002491
บริโภค_ดู_Netflix,สนใจ_อาหารญี่ปุ่น,0.013713168749796858
บริโภค_Content_ด้านบันเทิง,สนใจ_อาหารญี่ปุ่น,0.2509426689163831
บริโภค_Content_เกี่่ยวกับเกมส์,สนใจ_อาหารญี่ปุ่น,0.14504775084286264
บริโภค_Content_เกี่ยวกับการ_review_ร้านอาหาร,สนใจ_อาหารญี่ปุ่น,0.1861464135364345
บริโภค_Content_เกี่ยวกับการท่องเที่ยว,สนใจ_อาหารญี่ปุ่น,0.04027047748196567
บริโภค_Content_เกี่ยวกับการแต่งบ้าน,สนใจ_อาหารญี่ปุ่น,-0.12296929071960157
บริโภค_Content_เกี่ยวกับการโทรทัศน์,สนใจ_อาหารญี่ปุ่น,0.006560078454249698
บริโภค_Content_เกี่ยวกับละคร,สนใจ_อาหารญี่ปุ่น,0.005360066740596292
บริโภค_Content_เกี่ยวกับการเมือง,สนใจ_อาหารญี่ปุ่น,-0.1673574211249682
birth_year,สนใจ_อาหารญี่ปุ่น,0.0581512945598645
age,สนใจ_อาหารญี่ปุ่น,-0.11556550198533763
สนใจ_อาหารญี่ปุ่น,สนใจ_อาหารจึน,0.1832959179240374
สนใจ_อาหารจึน,สนใจ_อาหารจึน,1.0
สนใจ_อาหารไทย,สนใจ_อาหารจึน,-0.019348054494230642
สนใจ_อาหารอีสาน,สนใจ_อาหารจึน,-0.0015424362272617286
สนใจ_อาหารสุขภาพ,สนใจ_อาหารจึน,0.18470770010792
สนใจ_บุฟเฟต์,สนใจ_อาหารจึน,-0.046305606994022974
สนใจ_ชาบูชาบู,สนใจ_อาหารจึน,0.05387417617786054
สนใจ_ปิ้งย่าง,สนใจ_อาหารจึน,0.16469122502416686
สนใจ_เหล้าเบียร์,สนใจ_อาหารจึน,0.07445717547021692
สนใจ_เสื้อผ้าแฟชั่น,สนใจ_อาหารจึน,-0.08001605477960204
สนใจ_แต่งหน้า,สนใจ_อาหารจึน,0.042796535092273
สนใจ_skincare_บำรุงผิว,สนใจ_อาหารจึน,-0.05214661395406252
สนใจ_การออกกำลังกาย,สนใจ_อาหารจึน,-0.08968664416184224
