stu_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
6210422010,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,ได้เงิน,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,
6210422031,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,สดชื่น,ฟิน,สดชื่น,,สดชื่น,ฟิน,ออกกำลังกาย,,,,,,,,,,,,,,,,,,,,,,
6210422032,สดชื่น,สดชื่น,สดชื่น,ฟิน,,สดชื่น,สดชื่น,อิ่ม,อิ่ม,สดชื่น,อิ่ม,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,,,,,,,,,,,,,,,,
6210422033,สดชื่น,สดชื่น,อิ่ม,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,อิ่ม,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,พักผ่อน,,,,,,,,,,,,,,,,,,,,
6210422034,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,ฟิน,สดชื่น,ฟิน,สดชื่น,สดชื่น,ได้เงิน,,,,,,,,,,,,,,,,,,,,,
6210422035,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,อิ่ม,สดชื่น,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,ฟิน,ฟิน,,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,
6210422036,สดชื่น,พักผ่อน,พักผ่อน,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,ฟิน,สดชื่น,พักผ่อน,พักผ่อน,,,,,,,,,,,,,,,,,,,,,,,
6210422037,ได้เงิน,,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,อิ่ม,ทำการบ้าน,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,
6210422038,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,สดชื่น,สดชื่น,เรียนรู้สิ่งใหม่,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,
6210422040,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,,สดชื่น,สดชื่น,พักผ่อน,พักผ่อน,,พักผ่อน,ฟิน,พักผ่อน,สดชื่น,สดชื่น,ฟิน,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,,
6210422043,สดชื่น,,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,พักผ่อน,สดชื่น,พักผ่อน,พักผ่อน,พักผ่อน,ฟิน,สดชื่น,สดชื่น,,สดชื่น,เรียนรู้สิ่งใหม่,,,,,,,,,,,,,,,,,,,
6210422044,,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,ได้เงิน,ได้เงิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,ฟิน,สดชื่น,,,,,,,,,,,,,
6210422047,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,สดชื่น,ออกกำลังกาย,สดชื่น,ฟิน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,ฟิน,สดชื่น,ฟิน,ออกกำลังกาย,,,,,,,,,,,,,,,,,,,,
6210422048,พักผ่อน,สดชื่น,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,,,สดชื่น,พักผ่อน,เรียนรู้สิ่งใหม่,พักผ่อน,สดชื่น,สดชื่น,สดชื่น,สดชื่น,,สดชื่น,สดชื่น,,,,,,,,,,,,,,,,,,,,
