stu_id,awake_hr,sleep_hr
6210422033,16,8
6210422035,16,8
6220422004,18,6
6310422093,18,6
6310422096,17,7
6220422056,18,6
6210422010,18,6
6210422031,16,8
6210422032,19,5
6210422034,17,7
6210422036,18,6
6210422037,17,7
6210422038,18,6
6210422040,17,7
6210422043,18,6
6210422044,17,7
6210422047,19,5
6210422048,19,5
6210422049,16,8
6210422056,17,7
6210422058,18,6
6210422065,18,6
6220422001,18,6
6220422002,17,7
6220422005,17,7
6220422008,19,5
6220422009,18,6
6220422010,18,6
6220422013,15,9
6220422015,17,7
6220422017,17,7
6220422020,19,5
6220422024,18,6
6220422025,18,6
6220422026,17,7
6220422027,16,8
6220422029,18,6
6220422031,16,8
6220422067,18,6
6220422068,19,5
6220422103,17,7
6220422106,5,19
6310422091,18,6
6310422092,17,7
6220422030,17,7
6220422109,18,6
